X,genus,X,species,subttype,subtaxa,germcode
,Desmanthus,,illinoensis,,,H
,Glycyrrhiza,,lepidota,,,H
,Lathyrus,,venosus,,,H
,Lespedeza,,virginica,,,H
,Lupinus,,perennis,subsp.,perennis,H
,Mimosa,,quadrivalis,var.,nuttallii,H
,Orbexilum,,onobrychis,,,H
,Orbexilum,,pedunculatum,,,H
,Pediomelum,,esculentum,,,H
,Pediomelum,,tenuiflorum,,,H
,Polymnia,,uvedalia,,,H
,Rosa,,arkansana,,,H
,Rosa,,blanda,,,H
,Rosa,,carolina,,,H
,Rosa,,palustris,,,H
,Rosa,,setigera,,,H
,Senna,,hebecarpa,,,H
,Senna,,marilandica,,,H
,Tephrosia,,virginiana,,,H
,Thermopsis,,caroliniana,,,H
,Amorpha,,canescens,,,I
,Amorpha,,nana,,,I
,Astragalus,,bisulcatus,,,I
,Astragalus,,canadensis,,,I
,Astragalus,,crassicarpus,,,I
,Astragalus,,racemosus,,,I
,Baptisia,,alba,,,I
,Baptisia,,australis,,,I
,Baptisia,,australis,var.,minor,I
,Baptisia,,bracteata,,,I
,Baptisia,,sphaerocarpa,,,I
,Baptisia,,tinctoria,,,I
,Chamaecrista,,fasciculata,,,I
,Crotalaria,,sagittalis,,,I
,Dalea,,candida,,,I
,Dalea,,foliosa,,,I
,Dalea,,purpurea,,,I
,Dalea,,villosa,,,I
,Desmanthus,,illinoensis,,,I
,Desmodium,,canadense,,,I
,Desmodium,,glutinosum,,,I
,Desmodium,,illinoense,,,I
,Desmodium,,paniculatum,,,I
,Desmodium,,sessilifolium,,,I
,Glycyrrhiza,,lepidota,,,I
,Lathyrus,,venosus,,,I
,Lespedeza,,capitata,,,I
,Lespedeza,,virginica,,,I
,Lupinus,,perennis,subsp.,perennis,I
,Mimosa,,quadrivalis,var.,nuttallii,I
,Orbexilum,,onobrychis,,,I
,Orbexilum,,pedunculatum,,,I
,Oxytropis,,lambertii,,,I
,Pediomelum,,esculentum,,,I
,Pediomelum,,tenuiflorum,,,I
,Senna,,hebecarpa,,,I
,Senna,,marilandica,,,I
,Strophostyles,,helvola,,,I
,Strophostyles,,leiosperma,,,I
,Tephrosia,,virginiana,,,I
,Thermopsis,,caroliniana,,,I
,Amorpha,,canescens,,,J
,Dalea,,candida,,,J
,Dalea,,foliosa,,,J
,Dalea,,purpurea,,,J
,Dalea,,villosa,,,J
,Desmodium,,canadense,,,J
,Desmodium,,illinoense,,,J
,Desmodium,,paniculatum,,,J
,Desmodium,,sessilifolium,,,J
